corrnug,data_code,m,order_fun,neighbor_fun
TRUE,weather,20,order_completely_random,nearest_multi_any
TRUE,france01,20,order_completely_random,nearest_multi_any
TRUE,3a1,20,order_completely_random,nearest_multi_any
